18101#Adygea, Republic of
18102#Altai Krai
18103#Altai Republic
18104#Amur Oblast
18105#Arkhangelsk Oblast
18106#Astrakhan Oblast
18107#Bashkortostan, Republic of
18108#Belgorod Oblast
18109#Bryansk Oblast
18110#Buryatia, Republic of
18111#Chechen Republic
18112#Chelyabinsk Oblast
18113#Chukotka Autonomous Okrug
18114#Chuvash Republic
18115#Dagestan, Republic of
18116#Ingushetia, Republic of
18117#Irkutsk Oblast
18118#Ivanovo Oblast
18119#Jewish Autonomous Oblast
18120#Kabardino-Balkar Republic
18121#Kaliningrad Oblast
18122#Kalmykia, Republic of
18123#Kaluga Oblast
18124#Kamchatka Krai
18125#Karachay-Cherkess Republic
18126#Karelia, Republic of
18127#Kemerovo Oblast
18128#Khabarovsk Krai
18129#Khakassia, Republic of
18130#Khanty–Mansi Autonomous Okrug – Yugra
18131#Kirov Oblast
18132#Komi Republic
18133#Kostroma Oblast
18134#Krasnodar Krai
18135#Krasnoyarsk Krai
18136#Kurgan Oblast
18137#Kursk Oblast
18138#Leningrad Oblast
18139#Lipetsk Oblast
18140#Magadan Oblast
18141#Mari El Republic
18142#Mordovia, Republic of
18143#Moscow
18144#Moscow Oblast
18145#Murmansk Oblast
18146#Nenets Autonomous Okrug
18147#Nizhny Novgorod Oblast
18148#North Ossetia-Alania, Republic of
18149#Novgorod Oblast
18150#Novosibirsk Oblast
18151#Omsk Oblast
18152#Orenburg Oblast
18153#Oryol Oblast
18154#Penza Oblast
18155#Perm Krai
18156#Primorsky Krai
18157#Pskov Oblast
18158#Rostov Oblast
18159#Ryazan Oblast
18160#Saint Petersburg
18161#Sakha (Yakutia) Republic
18162#Sakhalin Oblast
18163#Samara Oblast
18164#Saratov Oblast
18165#Smolensk Oblast
18166#Stavropol Krai
18167#Sverdlovsk Oblast
18168#Tambov Oblast
18169#Tatarstan, Republic of
18170#Tomsk Oblast
18171#Tula Oblast
18172#Tuva Republic
18173#Tver Oblast
18174#Tyumen Oblast
18175#Udmurt Republic
18176#Ulyanovsk Oblast
18177#Vladimir Oblast
18178#Volgograd Oblast
18179#Vologda Oblast
18180#Voronezh Oblast
18181#Yamalo-Nenets Autonomous Okrug
18182#Yaroslavl Oblast
18183#Zabaykalsky Krai